precio,area,habitaciones,antiguedad,fecha_publicacion,descripcion
249900595,124,1,13,8/29/2022,Casa remodelada
106755036,77,4,20,3/21/2025,Casa remodelada
241100010,44,1,47,4/15/2021,Apartamento céntrico
177521863,69,1,19,3/12/2023,Apartamento económico
205299516,111,2,7,1/20/2023,Casa espaciosa
197532820,140,4,6,10/9/2023,Casa espaciosa
183224038,82,4,2,4/13/2022,Apartamento en buen estado
85788921,53,2,16,12/28/2024,Apartamento luminoso
183120466,183,3,32,12/27/2021,Casa en zona residencial
210953558,153,1,47,6/5/2025,Casa con jardín
299467210,70,5,11,5/3/2022,Casa con patio
143410762,186,1,50,2/20/2020,Casa en zona residencial
280537303,44,1,21,8/15/2024,Casa remodelada
141090292,74,3,21,9/17/2024,Apartamento luminoso
215850211,94,1,45,7/28/2021,Casa con patio
126737383,118,2,29,4/28/2023,Apartamento luminoso
138358551,100,2,37,2/22/2023,Casa con jardín
161190146,38,4,37,5/29/2020,Apartamento luminoso
138409749,117,5,44,11/9/2020,Apartamento luminoso
292285876,158,1,50,7/23/2021,Apartamento luminoso
189199233,165,1,7,9/27/2023,Apartamento económico
198171095,92,3,26,10/31/2020,Casa con patio
135652971,168,2,26,9/11/2024,Casa remodelada
54521373,110,5,33,11/12/2021,Apartamento con vista
156683173,165,4,20,4/17/2022,Apartamento en buen estado
53344769,192,2,29,12/11/2024,Casa con jardín
294061375,192,4,32,12/13/2022,Apartamento en buen estado
284984379,62,3,27,9/29/2022,Apartamento céntrico
286143776,152,3,46,3/19/2021,Casa con jardín
282968651,34,1,32,9/4/2021,Casa remodelada
261111225,70,5,4,9/19/2022,Casa espaciosa
156328085,57,4,47,9/20/2020,Casa con jardín
80349564,164,2,18,12/12/2022,Casa con jardín
294577003,101,3,3,5/14/2024,Casa con patio
149052376,41,1,34,9/30/2022,Apartamento céntrico
227077808,191,1,48,7/1/2024,Apartamento en buen estado
156406362,62,4,16,1/5/2020,Casa con jardín
261969082,77,3,43,1/31/2023,Casa con patio
156777086,180,5,27,5/4/2023,Apartamento céntrico
112250665,91,3,29,2/12/2022,Casa espaciosa
250427519,66,4,28,5/26/2022,Apartamento céntrico
231009883,128,4,45,9/18/2022,Apartamento económico
205716283,133,3,5,6/2/2022,Apartamento económico
281334863,64,4,34,10/5/2023,Apartamento con vista
244438926,130,3,40,2/16/2020,Apartamento económico
129757501,160,2,36,5/16/2022,Apartamento con vista
170716221,30,3,23,4/2/2022,Apartamento céntrico
201079598,34,3,28,7/24/2022,Apartamento económico
290028605,171,4,48,1/17/2025,Casa en zona residencial
102286002,132,4,45,10/17/2021,Casa en zona residencial
82049003,56,1,30,9/25/2020,Casa remodelada
111136438,166,1,34,1/4/2021,Casa en zona residencial
246412659,44,2,32,9/27/2021,Apartamento económico
178482111,119,1,20,2/3/2023,Apartamento con vista
175683192,71,3,31,8/20/2024,Casa con patio
249502978,153,4,22,8/9/2024,Apartamento luminoso
253754980,92,1,32,10/18/2021,Casa espaciosa
243466162,125,1,2,4/29/2020,Apartamento céntrico
287544070,81,2,17,4/10/2022,Casa con patio
245524628,125,2,24,12/15/2024,Casa espaciosa
105831368,161,3,41,6/15/2024,Casa con patio
60959014,180,4,30,12/17/2022,Apartamento céntrico
106972561,172,2,2,5/28/2025,Apartamento en buen estado
98900483,200,1,39,10/1/2023,Apartamento económico
70193880,58,4,45,1/10/2022,Apartamento económico
170826171,65,4,23,2/6/2024,Casa con jardín
53385357,42,1,49,4/26/2020,Apartamento económico
94738553,189,2,31,1/27/2025,Apartamento luminoso
284564360,100,1,46,3/1/2022,Apartamento con vista
118574553,115,4,21,2/24/2023,Casa con patio
201063092,57,5,22,11/17/2023,Apartamento en buen estado
236375041,95,5,1,4/15/2025,Apartamento en buen estado
279890139,199,3,26,10/9/2022,Apartamento céntrico
61392366,74,1,41,7/22/2024,Apartamento en buen estado
253996587,91,1,1,12/17/2022,Apartamento en buen estado
297720444,163,3,25,9/25/2021,Casa con patio
138883975,57,3,16,5/27/2021,Casa con jardín
197697582,57,3,39,11/9/2024,Casa remodelada
257724578,137,4,32,3/12/2022,Casa con patio
197405005,73,1,8,1/24/2023,Apartamento con vista
118979792,113,4,42,7/19/2024,Apartamento céntrico
87709731,59,3,47,2/15/2023,Apartamento luminoso
295827121,104,1,38,7/13/2021,Apartamento luminoso
211156967,157,4,28,6/12/2024,Casa espaciosa
73027075,121,4,41,5/2/2021,Casa remodelada
265417853,158,3,25,6/14/2023,Casa con jardín
136191493,150,1,34,3/23/2025,Apartamento céntrico
137796277,56,3,49,6/15/2022,Apartamento económico
250619113,150,1,24,7/19/2023,Apartamento económico
72335235,145,5,23,4/27/2023,Casa en zona residencial
184489564,32,2,12,12/4/2021,Apartamento en buen estado
187802430,132,2,6,1/10/2024,Casa con jardín
177924625,184,2,35,8/3/2021,Casa en zona residencial
157944665,166,3,44,2/28/2022,Apartamento con vista
102631083,91,5,19,5/10/2022,Apartamento en buen estado
58585377,194,1,0,9/3/2020,Apartamento céntrico
136544585,80,4,7,6/9/2025,Casa con jardín
135157821,181,1,45,1/4/2023,Apartamento con vista
271873123,88,4,15,6/2/2020,Casa con patio
202041741,147,1,13,8/6/2024,Apartamento en buen estado
202345678,120,3,10,7/15/2023,Casa remodelada
189456123,85,2,5,3/10/2024,Apartamento céntrico
215789654,95,4,20,11/22/2022,Casa espaciosa
178654321,60,1,2,1/5/2025,Apartamento económico
245678912,130,3,15,9/18/2023,Casa con jardín
156789234,70,2,8,12/30/2022,Apartamento luminoso
234567891,110,4,12,5/25/2024,Casa con patio
198765432,80,1,3,10/14/2021,Apartamento céntrico
210987654,140,5,18,6/11/2023,Casa en zona residencial
167890123,75,2,6,8/19/2022,Apartamento en buen estado
223456789,100,3,9,2/28/2024,Casa remodelada
187654321,65,1,4,12/7/2021,Apartamento económico
256789123,150,4,14,4/23/2023,Casa con jardín
176543219,90,2,7,10/16/2022,Apartamento luminoso
245678123,120,3,11,7/12/2024,Casa con patio
198765123,85,1,5,1/29/2023,Apartamento céntrico
210987321,135,4,17,9/3/2022,Casa en zona residencial
167890321,70,2,8,2/21/2025,Apartamento en buen estado
223456123,105,3,10,5/14/2023,Casa remodelada
187654123,60,1,3,11/27/2024,Apartamento económico
256789321,145,4,13,3/19/2022,Casa con jardín
176543123,95,2,6,7/8/2021,Apartamento luminoso
245678321,125,3,12,10/25/2023,Casa con patio
198765321,80,1,4,6/15/2022,Apartamento céntrico
210987123,138,5,19,1/17/2024,Casa en zona residencial
167890231,78,2,7,8/23/2023,Apartamento en buen estado
223456231,108,3,11,12/29/2022,Casa remodelada
187654231,68,1,2,3/13/2025,Apartamento económico
256789231,148,4,16,2/18/2023,Casa con jardín
176543231,92,2,5,11/21/2021,Apartamento luminoso
